t1,t2,value
1.6755160819,4.5029494701,1.323
1.6755160819,4.5378560552,1.149
1.6755160819,4.5727626402,0.989
1.6755160819,4.6076692253,1.407
1.6755160819,4.6425758103,1.103
1.6755160819,4.6774823953,1.188
1.6755160819,4.7123889804,1.055
1.6755160819,4.7472955654,0.793
1.6755160819,4.7822021505,1.195
1.6755160819,4.8171087355,1.013
1.6755160819,4.8520153205,1.269
1.6755160819,4.8869219056,0.956
1.6755160819,4.9218284906,0.921
1.6755160819,4.9567350757,0.754
1.6755160819,4.9916416607,0.669
1.6755160819,5.0265482457,0.811
1.6755160819,5.0614548308,0.919
1.6755160819,5.0963614158,1.088
